"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"65",2016,"GEORGIA","GA","GLASCOCK",13125,"PRESIDENT","DONALD TRUMP","REPUBLICAN",1235,1390,20191203,"TOTAL",88.8489208633094
"66",2020,"GEORGIA","GA","BACON",13005,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",3099,4668,20210622,"ADVANCED VOTING",66.3881748071979
"67",2000,"HAWAII","HI","KAUAI",15007,"PRESIDENT","AL GORE","DEMOCRAT",13470,21773,20191203,"TOTAL",61.8656133743627
"68",2004,"HAWAII","HI","HAWAII",15001,"PRESIDENT","JOHN KERRY","DEMOCRAT",35116,57702,20191203,"TOTAL",60.8575092717757
"69",2008,"HAWAII","HI","MAUI",15009,"PRESIDENT","BARACK OBAMA","DEMOCRAT",39727,51789,20191203,"TOTAL",76.7093398211976
"70",2012,"HAWAII","HI","HAWAII",15001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",47224,63454,20191203,"TOTAL",74.422416238535
"71",2016,"HAWAII","HI","MAUI",15009,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",33480,51945,20191203,"TOTAL",64.4527866012128
"72",2020,"HAWAII","HI","HAWAII",15001,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",58731,87814,20210622,"TOTAL",66.8811351265174
"73",2000,"IDAHO","ID","MADISON",16065,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7941,8970,20191203,"TOTAL",88.5284280936455
"74",2004,"IDAHO","ID","MADISON",16065,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10693,11637,20191203,"TOTAL",91.8879436280828
"75",2008,"IDAHO","ID","MADISON",16065,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",11131,13057,20191203,"TOTAL",85.2492915677414
"76",2012,"IDAHO","ID","MADISON",16065,"PRESIDENT","MITT ROMNEY","REPUBLICAN",13445,14412,20191203,"TOTAL",93.2903136275326
"77",2016,"IDAHO","ID","IDAHO",16049,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6441,8233,20191203,"TOTAL",78.2339365966233
"78",2020,"IDAHO","ID","BEAR LAKE",16007,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",2914,3315,20210622,"TOTAL",87.9034690799397
"79",2000,"ILLINOIS","IL","WAYNE",17191,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5347,7693,20191203,"TOTAL",69.5047445729884
"80",2004,"ILLINOIS","IL","WAYNE",17191,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6102,8287,20191203,"TOTAL",73.6334017135272
"81",2008,"ILLINOIS","IL","COOK",17031,"PRESIDENT","BARACK OBAMA","DEMOCRAT",1629024,2137466,20191203,"TOTAL",76.2128613975614
"82",2012,"ILLINOIS","IL","WAYNE",17191,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5988,7680,20191203,"TOTAL",77.96875
"83",2016,"ILLINOIS","IL","WAYNE",17191,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6967,8261,20191203,"TOTAL",84.336036799419
"84",2020,"ILLINOIS","IL","WAYNE",17191,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",7176,8486,20210622,"TOTAL",84.5628093330191
"85",2000,"INDIANA","IN","KOSCIUSKO",18085,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",19040,25284,20191203,"TOTAL",75.3045404208195
