"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"272",2004,"VERMONT","VT","WINDHAM",50025,"PRESIDENT","JOHN KERRY","DEMOCRAT",15489,23316,20191203,"TOTAL",66.4307771487391
"273",2008,"VERMONT","VT","WINDHAM",50025,"PRESIDENT","BARACK OBAMA","DEMOCRAT",17585,24081,20191203,"TOTAL",73.0243760641169
"274",2012,"VERMONT","VT","WINDHAM",50025,"PRESIDENT","BARACK OBAMA","DEMOCRAT",16026,21937,20191203,"TOTAL",73.0546565163878
"275",2016,"VERMONT","VT","CHITTENDEN",50007,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",54814,83418,20191203,"TOTAL",65.7100386007816
"276",2020,"VERMONT","VT","CHITTENDEN",50007,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",72938,96755,20210622,"TOTAL",75.3842178698775
"277",2000,"VIRGINIA","VA","PETERSBURG",51730,"PRESIDENT","AL GORE","DEMOCRAT",8751,11062,20191203,"TOTAL",79.1086602784307
"278",2004,"VIRGINIA","VA","PETERSBURG",51730,"PRESIDENT","JOHN KERRY","DEMOCRAT",9682,11949,20191203,"TOTAL",81.0277010628504
"279",2008,"VIRGINIA","VA","PETERSBURG",51730,"PRESIDENT","BARACK OBAMA","DEMOCRAT",13774,15540,20191203,"TOTAL",88.6357786357786
"280",2012,"VIRGINIA","VA","PETERSBURG",51730,"PRESIDENT","BARACK OBAMA","DEMOCRAT",14283,15908,20191203,"TOTAL",89.7850138295197
"281",2016,"VIRGINIA","VA","PETERSBURG",51730,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",12021,13786,20191203,"TOTAL",87.1971565356158
"282",2020,"VIRGINIA","VA","FALLS CHURCH CITY",51610,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",6481,8819,20210622,"ABSENTEE",73.4890577162944
"283",2000,"WASHINGTON","WA","GARFIELD",53023,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",982,1329,20191203,"TOTAL",73.8901429646351
"284",2004,"WASHINGTON","WA","ADAMS",53001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3751,5127,20191203,"TOTAL",73.1616929978545
"285",2008,"WASHINGTON","WA","GARFIELD",53023,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",968,1373,20191203,"TOTAL",70.5025491624181
"286",2012,"WASHINGTON","WA","GARFIELD",53023,"PRESIDENT","MITT ROMNEY","REPUBLICAN",913,1278,20191203,"TOTAL",71.4397496087637
"287",2016,"WASHINGTON","WA","KING",53033,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",718322,998499,20191203,"TOTAL",71.9401822135025
"288",2020,"WASHINGTON","WA","KING",53033,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",907310,1210507,20210622,"TOTAL",74.9528916396188
"289",2000,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3571,4534,20191203,"TOTAL",78.7604764005293
"290",2004,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4063,5047,20191203,"TOTAL",80.5032692688726
"291",2008,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",3166,4218,20191203,"TOTAL",75.0592697961119
"292",2012,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","MITT ROMNEY","REPUBLICAN",3783,4586,20191203,"TOTAL",82.4901875272569
"293",2016,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","DONALD TRUMP","REPUBLICAN",4346,4956,20191203,"TOTAL",87.6916868442292
"294",2020,"WEST VIRGINIA","WV","GRANT",54023,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",4871,5509,20210622,"TOTAL",88.4189508077691
"295",2000,"WISCONSIN","WI","MENOMINEE",55078,"PRESIDENT","AL GORE","DEMOCRAT",949,1233,20191203,"TOTAL",76.9667477696675
"296",2004,"WISCONSIN","WI","MENOMINEE",55078,"PRESIDENT","JOHN KERRY","DEMOCRAT",1412,1710,20191203,"TOTAL",82.5730994152047
"297",2008,"WISCONSIN","WI","MENOMINEE",55078,"PRESIDENT","BARACK OBAMA","DEMOCRAT",1257,1448,20191203,"TOTAL",86.8093922651934
"298",2012,"WISCONSIN","WI","MENOMINEE",55078,"PRESIDENT","BARACK OBAMA","DEMOCRAT",1191,1377,20191203,"TOTAL",86.4923747276688
"299",2016,"WISCONSIN","WI","MENOMINEE",55078,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",1003,1279,20191203,"TOTAL",78.4206411258796
"300",2020,"WISCONSIN","WI","MENOMINEE",55078,"US PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",1303,1590,20210622,"TOTAL",81.9496855345912
"301",2000,"WYOMING","WY","CROOK",56011,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2289,2738,20191203,"TOTAL",83.6011687363039
"302",2004,"WYOMING","WY","CROOK",56011,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2836,3396,20191203,"TOTAL",83.510011778563
"303",2008,"WYOMING","WY","CROOK",56011,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",2967,3706,20191203,"TOTAL",80.0593631948192
"304",2012,"WYOMING","WY","CAMPBELL",56005,"PRESIDENT","MITT ROMNEY","REPUBLICAN",14953,17571,20191203,"TOTAL",85.1004496044619
"305",2016,"WYOMING","WY","CROOK",56011,"PRESIDENT","DONALD TRUMP","REPUBLICAN",3348,3826,20191203,"TOTAL",87.5065342394145
"306",2020,"WYOMING","WY","CROOK",56011,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",3651,4143,20210622,"TOTAL",88.124547429399
