"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"34",2012,"NORTH DAKOTA","ND","ADAMS",38001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",918,1286,20191203,"TOTAL",71.3841368584759
"35",2016,"OHIO","OH","ADAMS",39001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",8659,11359,20191203,"TOTAL",76.230301963201
"36",2020,"OHIO","OH","ADAMS",39001,"US PRESIDENT","DONALD J TRUMP","REPUBLICAN",9870,12145,20210622,"TOTAL",81.2680115273775
"37",2000,"VERMONT","VT","ADDISON",50001,"PRESIDENT","AL GORE","DEMOCRAT",8936,17427,20191203,"TOTAL",51.2767544614678
"38",2004,"VERMONT","VT","ADDISON",50001,"PRESIDENT","JOHN KERRY","DEMOCRAT",11147,18579,20191203,"TOTAL",59.9978470315948
"39",2008,"VERMONT","VT","ADDISON",50001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",13202,19238,20191203,"TOTAL",68.6245971514711
"40",2012,"VERMONT","VT","ADDISON",50001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",12257,17910,20191203,"TOTAL",68.4366275823562
"41",2016,"VERMONT","VT","ADDISON",50001,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",11219,19031,20191203,"TOTAL",58.951184908833
"42",2020,"VERMONT","VT","ADDISON",50001,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",15089,22611,20210622,"TOTAL",66.7330060589978
"43",2000,"SOUTH CAROLINA","SC","AIKEN",45003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",33203,50782,20191203,"TOTAL",65.3834035681935
"44",2004,"SOUTH CAROLINA","SC","AIKEN",45003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",39077,59492,20191203,"TOTAL",65.6844617763733
"45",2008,"SOUTH CAROLINA","SC","AIKEN",45003,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",42849,69770,20191203,"TOTAL",61.4146481295686
"46",2012,"SOUTH CAROLINA","SC","AIKEN",45003,"PRESIDENT","MITT ROMNEY","REPUBLICAN",44042,70363,20191203,"TOTAL",62.5925557466282
"47",2016,"SOUTH CAROLINA","SC","AIKEN",45003,"PRESIDENT","DONALD TRUMP","REPUBLICAN",46025,74851,20191203,"TOTAL",61.488824464603
"48",2020,"SOUTH CAROLINA","SC","AIKEN",45003,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",27763,85185,20210622,"ELECTION DAY",32.5914186769971
"49",2000,"MINNESOTA","MN","AITKIN",27001,"PRESIDENT","AL GORE","DEMOCRAT",3830,8260,20191203,"TOTAL",46.3680387409201
"50",2004,"MINNESOTA","MN","AITKIN",27001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4768,9452,20191203,"TOTAL",50.4443504020313
"51",2008,"MINNESOTA","MN","AITKIN",27001,"PRESIDENT","BARACK OBAMA","DEMOCRAT",4595,9410,20191203,"TOTAL",48.8310308182784
"52",2012,"MINNESOTA","MN","AITKIN",27001,"PRESIDENT","MITT ROMNEY","REPUBLICAN",4533,9142,20191203,"TOTAL",49.5843360315029
"53",2016,"MINNESOTA","MN","AITKIN",27001,"PRESIDENT","DONALD TRUMP","REPUBLICAN",5516,9231,20191203,"TOTAL",59.755172787347
